Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3818976917, 1002, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3818977922, 1002, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3818978927, 1003, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3818979931, 953, 0, 61, 1034, 62, 9, 63, 19, 0, 346
3818980965, 757, 0, 196, 1040, 444, 9, 121, 15, 0, 1404
3818982005, 851, 0, 169, 1035, 691, 9, 138, 17, 0, 2304
3818983040, 850, 0, 161, 1017, 704, 9, 139, 17, 0, 2354
3818984057, 850, 0, 151, 1028, 713, 9, 139, 17, 0, 2354
3818985085, 850, 0, 159, 1019, 701, 9, 139, 17, 0, 2359
3818986104, 850, 0, 169, 1036, 729, 9, 139, 17, 0, 2356
3818987140, 850, 0, 153, 1017, 695, 9, 138, 17, 0, 2345
3818988157, 851, 0, 166, 1033, 703, 9, 137, 17, 0, 2320
3818989190, 850, 0, 152, 1019, 690, 9, 137, 17, 0, 2314
3818990209, 850, 0, 145, 1021, 697, 9, 137, 17, 0, 2327
3818991231, 850, 0, 158, 1022, 696, 9, 137, 17, 0, 2327
3818992253, 851, 0, 152, 1023, 697, 9, 137, 17, 0, 2329
3818993276, 851, 0, 153, 1023, 687, 9, 137, 17, 0, 2305
3818994299, 851, 0, 162, 1029, 701, 9, 136, 17, 0, 2303
3818995329, 851, 0, 167, 1031, 695, 9, 138, 17, 0, 2332
3818996360, 850, 0, 156, 1022, 706, 9, 138, 17, 1, 2346
3818997382, 850, 0, 158, 1023, 703, 9, 138, 17, 1, 2346
3818998405, 850, 0, 157, 1014, 693, 9, 138, 17, 1, 2346
3818999420, 850, 0, 158, 1018, 694, 9, 139, 17, 1, 2358
3819000438, 852, 0, 163, 1024, 703, 9, 139, 17, 1, 2363
3819001462, 850, 0, 154, 1026, 697, 9, 139, 17, 1, 2341
3819002488, 851, 0, 162, 1026, 694, 9, 137, 17, 1, 2329
3819003514, 850, 0, 161, 1025, 685, 9, 137, 17, 1, 2326
3819004539, 850, 0, 159, 1035, 677, 9, 135, 17, 1, 2273
3819005574, 850, 0, 162, 1030, 663, 9, 133, 17, 1, 2248
3819006604, 852, 0, 170, 1048, 640, 9, 132, 17, 1, 2119
3819007652, 850, 0, 159, 1040, 582, 8, 121, 17, 1, 1987
3819008692, 850, 0, 143, 1026, 575, 8, 114, 17, 1, 1922
3819009718, 850, 0, 148, 1027, 551, 8, 113, 17, 1, 1907
3819010745, 850, 0, 149, 1039, 559, 8, 113, 17, 1, 1907
3819011784, 850, 0, 146, 1024, 559, 8, 113, 17, 1, 1915
3819012808, 850, 0, 134, 1041, 539, 8, 110, 17, 1, 1849
3819013849, 850, 0, 132, 1022, 524, 8, 108, 17, 1, 1836
3819014871, 851, 0, 128, 1032, 525, 8, 108, 17, 1, 1820
3819015903, 850, 0, 127, 1031, 522, 8, 105, 17, 1, 1772
3819016934, 850, 0, 141, 1030, 597, 9, 125, 17, 1, 2098
3819017964, 851, 0, 143, 1027, 595, 9, 124, 17, 1, 2083
3819018991, 850, 0, 144, 1026, 598, 9, 124, 17, 1, 2085
3819020017, 850, 0, 143, 1027, 585, 9, 123, 17, 1, 2075
3819021044, 850, 0, 150, 1030, 597, 9, 121, 17, 1, 2033
3819022074, 850, 0, 151, 1041, 576, 9, 118, 17, 1, 2005
3819023115, 850, 0, 144, 1033, 570, 9, 118, 17, 1, 2006
3819024148, 850, 0, 149, 1029, 569, 9, 118, 17, 1, 1996
3819025177, 850, 0, 167, 1038, 565, 9, 118, 17, 1, 1999
3819026215, 851, 0, 153, 1031, 552, 11, 124, 17, 1, 2019
3819027247, 850, 0, 165, 1033, 580, 11, 124, 17, 1, 2085
3819028280, 851, 0, 157, 1031, 581, 11, 122, 17, 1, 2062
3819029312, 800, 0, 184, 1012, 561, 11, 121, 16, 1, 1922
3819030325, 851, 0, 163, 1042, 564, 11, 119, 17, 1, 1993
3819031367, 850, 0, 146, 1052, 555, 11, 116, 17, 1, 1949
3819032419, 851, 0, 158, 1043, 523, 11, 113, 17, 1, 1902
3819033462, 850, 0, 154, 1048, 525, 11, 112, 17, 1, 1887
3819034510, 851, 0, 156, 1049, 514, 11, 109, 17, 1, 1831
3819035559, 850, 0, 157, 1057, 491, 11, 107, 17, 1, 1775
3819036616, 851, 0, 153, 1048, 514, 13, 125, 17, 1, 1959
3819037664, 850, 0, 157, 1046, 606, 13, 126, 17, 1, 2127
3819038710, 850, 0, 169, 1056, 573, 13, 125, 17, 1, 2107
3819039766, 851, 0, 161, 1046, 552, 13, 123, 17, 1, 2041
