Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3818976874, 1002, 0, 0, 1048, 0, 9, 0, 20, 0, 0
3818977922, 1002, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3818978927, 1003, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3818979931, 952, 0, 42, 1034, 78, 9, 60, 19, 0, 376
3818980965, 753, 0, 185, 1040, 425, 9, 108, 15, 0, 1348
3818982005, 850, 0, 147, 1035, 606, 9, 119, 17, 0, 1989
3818983040, 850, 0, 142, 1017, 599, 9, 118, 17, 0, 2006
3818984057, 852, 0, 148, 1028, 604, 9, 118, 17, 0, 1993
3818985085, 850, 0, 143, 1019, 591, 9, 117, 17, 0, 1989
3818986104, 850, 0, 149, 1036, 610, 9, 117, 17, 0, 1987
3818987140, 851, 0, 130, 1017, 590, 9, 116, 17, 0, 1972
3818988157, 850, 0, 145, 1032, 593, 9, 116, 17, 0, 1972
3818989190, 851, 0, 146, 1019, 589, 9, 117, 17, 0, 1976
3818990209, 851, 0, 134, 1022, 600, 9, 117, 17, 0, 1989
3818991231, 850, 0, 136, 1022, 596, 9, 117, 17, 0, 1986
3818992253, 850, 0, 149, 1023, 599, 9, 119, 17, 0, 2005
3818993276, 851, 0, 140, 1023, 604, 9, 118, 17, 0, 2006
3818994299, 850, 0, 139, 1029, 611, 9, 118, 17, 0, 2001
3818995329, 850, 0, 153, 1031, 597, 9, 118, 17, 0, 1994
3818996360, 850, 0, 144, 1022, 596, 9, 118, 17, 1, 2006
3818997382, 852, 0, 137, 1023, 598, 9, 118, 17, 1, 2006
3818998405, 850, 0, 142, 1015, 598, 9, 119, 17, 1, 2015
3818999420, 851, 0, 136, 1018, 590, 9, 119, 17, 1, 2008
3819000438, 851, 0, 142, 1024, 596, 9, 118, 17, 1, 1996
3819001462, 852, 0, 138, 1026, 585, 9, 116, 17, 1, 1972
3819002488, 850, 0, 146, 1026, 588, 9, 116, 17, 1, 1972
3819003514, 850, 0, 152, 1025, 576, 9, 116, 17, 1, 1966
3819004539, 852, 0, 151, 1035, 574, 9, 114, 17, 1, 1926
3819005574, 852, 0, 144, 1030, 575, 9, 115, 17, 1, 1939
3819006604, 850, 0, 162, 1048, 603, 10, 125, 17, 1, 2034
3819007652, 851, 0, 164, 1040, 620, 10, 123, 17, 1, 2087
3819008692, 850, 0, 156, 1026, 618, 10, 124, 17, 1, 2087
3819009718, 851, 0, 148, 1027, 607, 10, 123, 17, 1, 2084
3819010745, 850, 0, 157, 1039, 613, 10, 124, 17, 1, 2095
3819011784, 851, 0, 152, 1024, 598, 10, 124, 17, 1, 2089
3819012808, 850, 0, 173, 1041, 609, 10, 123, 17, 1, 2075
3819013849, 851, 0, 143, 1022, 593, 10, 122, 17, 1, 2054
3819014871, 852, 0, 155, 1032, 594, 10, 122, 17, 1, 2061
3819015903, 851, 0, 144, 1031, 595, 10, 121, 17, 1, 2057
3819016934, 850, 0, 145, 1030, 601, 10, 122, 17, 1, 2058
3819017964, 852, 0, 150, 1027, 588, 10, 123, 17, 1, 2083
3819018991, 850, 0, 152, 1025, 602, 10, 126, 17, 1, 2113
3819020017, 851, 0, 155, 1027, 618, 10, 129, 17, 1, 2159
3819021044, 850, 0, 155, 1030, 640, 10, 133, 17, 1, 2219
3819022074, 850, 0, 182, 1041, 658, 10, 134, 17, 1, 2254
3819023115, 850, 0, 170, 1033, 653, 10, 133, 17, 1, 2230
3819024148, 850, 0, 159, 1029, 628, 10, 130, 17, 1, 2200
3819025177, 850, 0, 156, 1038, 639, 10, 131, 17, 1, 2215
3819026215, 851, 0, 160, 1031, 637, 10, 130, 17, 1, 2187
3819027247, 850, 0, 153, 1033, 627, 9, 127, 17, 1, 2153
3819028280, 850, 0, 150, 1031, 619, 9, 127, 17, 1, 2146
3819029312, 800, 0, 172, 1013, 611, 9, 126, 16, 1, 2009
3819030325, 850, 0, 159, 1042, 633, 9, 127, 17, 1, 2138
3819031367, 850, 0, 166, 1052, 628, 9, 127, 17, 1, 2138
3819032419, 850, 0, 149, 1043, 603, 9, 125, 17, 1, 2107
3819033462, 850, 0, 167, 1048, 623, 9, 127, 17, 1, 2134
3819034510, 851, 0, 180, 1049, 651, 9, 129, 17, 1, 2188
3819035559, 850, 0, 177, 1057, 632, 9, 127, 17, 1, 2159
3819036616, 851, 0, 160, 1048, 640, 9, 129, 17, 1, 2178
3819037664, 850, 0, 170, 1046, 651, 9, 129, 17, 1, 2180
3819038710, 853, 0, 165, 1056, 641, 9, 128, 17, 1, 2161
3819039766, 852, 0, 176, 1046, 623, 9, 128, 17, 1, 2169
3819040812, 850, 0, 177, 1047, 640, 9, 128, 17, 1, 2167
3819041859, 850, 0, 165, 1035, 615, 9, 127, 17, 1, 2154
3819042894, 850, 0, 158, 1046, 619, 9, 125, 17, 1, 2094
3819043940, 851, 0, 158, 1033, 598, 9, 123, 17, 1, 2076
3819044973, 851, 0, 146, 1032, 577, 9, 121, 17, 1, 2001
3819046005, 850, 0, 154, 1038, 571, 9, 117, 17, 1, 1983
3819047043, 852, 0, 153, 1029, 562, 9, 117, 17, 1, 1981
3819048072, 850, 0, 164, 1047, 580, 9, 117, 17, 1, 1982
3819049119, 850, 0, 151, 1031, 569, 9, 117, 17, 1, 1965
3819050150, 850, 0, 135, 1028, 540, 9, 113, 17, 1, 1905
3819051178, 851, 0, 141, 1032, 543, 9, 112, 17, 1, 1886
3819052211, 850, 0, 138, 1028, 533, 9, 110, 17, 1, 1819
3819053239, 850, 0, 135, 1028, 522, 9, 108, 17, 1, 1823
3819054267, 850, 0, 137, 1026, 503, 9, 107, 17, 1, 1779
3819055293, 850, 0, 137, 1031, 519, 9, 104, 17, 1, 1748
3819056324, 850, 0, 153, 1040, 519, 10, 122, 17, 1, 1815
3819057364, 850, 0, 153, 1032, 576, 10, 122, 17, 1, 2070
3819058397, 851, 0, 150, 1032, 596, 10, 121, 17, 1, 2050
3819059429, 850, 0, 146, 1025, 584, 10, 121, 17, 1, 2038
3819060454, 850, 0, 158, 1028, 585, 10, 120, 17, 1, 2031
3819061482, 851, 0, 148, 1025, 579, 10, 119, 17, 1, 1994
3819062507, 851, 0, 145, 1030, 574, 10, 116, 17, 1, 1952
3819063537, 852, 0, 151, 1037, 568, 10, 116, 17, 1, 1968
3819064574, 851, 0, 155, 1034, 565, 10, 118, 17, 1, 1989
3819065608, 850, 0, 151, 1034, 587, 10, 121, 17, 1, 2039
3819066642, 850, 0, 167, 1034, 588, 10, 122, 17, 1, 2048
3819067676, 850, 0, 146, 1022, 569, 10, 120, 17, 1, 2018
3819068698, 850, 0, 154, 1038, 619, 10, 118, 17, 0, 1982
3819069736, 850, 0, 164, 1043, 600, 10, 118, 17, 0, 2005
3819070779, 850, 0, 143, 1027, 591, 10, 118, 17, 0, 2005
3819071806, 850, 0, 149, 1028, 569, 10, 119, 17, 0, 2008
3819072834, 850, 0, 136, 1029, 588, 10, 120, 17, 0, 2025
3819073863, 850, 0, 142, 1019, 584, 10, 120, 17, 0, 2040
3819074882, 850, 0, 138, 1024, 571, 10, 121, 17, 0, 2038
3819075906, 851, 0, 144, 1028, 603, 10, 122, 17, 0, 2054
3819076934, 850, 0, 146, 1027, 594, 10, 122, 17, 0, 2074
3819077961, 850, 0, 159, 1047, 609, 10, 122, 17, 0, 2072
3819079008, 852, 0, 158, 1050, 621, 10, 126, 17, 0, 2114
3819080058, 850, 0, 169, 1035, 620, 10, 127, 17, 0, 2145
3819081093, 850, 0, 157, 1032, 659, 10, 128, 17, 0, 2164
3819082125, 852, 0, 163, 1029, 625, 10, 127, 17, 0, 2145
3819083154, 851, 0, 151, 1020, 614, 10, 127, 17, 0, 2144
3819084175, 851, 0, 155, 1032, 618, 10, 127, 17, 0, 2150
3819085208, 850, 0, 159, 1034, 612, 10, 127, 17, 0, 2135
3819086242, 850, 0, 159, 1025, 618, 10, 127, 17, 0, 2153
3819087267, 850, 0, 165, 1035, 619, 10, 126, 17, 0, 2142
3819088302, 851, 0, 163, 1039, 650, 10, 127, 17, 1, 2134
3819089341, 853, 0, 155, 1033, 649, 10, 127, 17, 1, 2151
3819090374, 851, 0, 152, 1026, 644, 10, 127, 17, 1, 2148
3819091400, 850, 0, 148, 1032, 619, 10, 126, 17, 1, 2138
3819092432, 850, 0, 168, 1025, 609, 10, 125, 17, 1, 2112
3819093457, 850, 0, 156, 1045, 627, 10, 125, 17, 1, 2102
3819094502, 851, 0, 144, 1036, 607, 10, 123, 17, 1, 2076
3819095538, 851, 0, 138, 1031, 586, 10, 123, 17, 1, 2072
3819096569, 850, 0, 145, 1030, 592, 10, 120, 17, 1, 2026
3819097599, 850, 0, 163, 1039, 585, 10, 118, 17, 1, 1997
3819098638, 850, 0, 137, 1019, 571, 10, 118, 17, 1, 1975
3819099657, 852, 0, 130, 1026, 556, 10, 116, 17, 1, 1930
3819100683, 852, 0, 153, 1037, 573, 10, 118, 17, 1, 1976
3819101720, 850, 0, 157, 1027, 586, 10, 119, 17, 1, 1991
3819102747, 850, 0, 144, 1028, 563, 10, 118, 17, 1, 1983
3819103775, 851, 0, 149, 1023, 575, 10, 117, 17, 1, 1983
3819104798, 851, 0, 153, 1028, 572, 10, 118, 17, 1, 1996
3819105826, 850, 0, 156, 1032, 569, 10, 119, 17, 1, 2001
3819106858, 850, 0, 168, 1039, 585, 10, 118, 17, 1, 2001
3819107897, 851, 0, 155, 1026, 583, 10, 117, 17, 1, 1978
3819108924, 850, 0, 154, 1029, 570, 10, 117, 17, 1, 1973
3819109953, 851, 0, 151, 1035, 549, 10, 115, 17, 1, 1904
3819110988, 850, 0, 141, 1025, 550, 10, 111, 17, 1, 1882
3819112013, 850, 0, 140, 1034, 536, 10, 110, 17, 1, 1860
3819113047, 850, 0, 149, 1034, 537, 10, 110, 17, 1, 1859
3819114081, 851, 0, 136, 1027, 537, 10, 112, 17, 1, 1901
3819115108, 850, 0, 134, 1025, 557, 10, 112, 17, 1, 1889
3819116133, 851, 0, 137, 1023, 539, 10, 112, 17, 1, 1886
3819117156, 850, 0, 140, 1022, 580, 11, 123, 17, 1, 2040
