Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3818976899, 1002, 0, 0, 1023, 0, 9, 0, 20, 0, 0
3818977922, 1002, 0, 1, 1005, 0, 9, 0, 20, 0, 0
3818978927, 1003, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3818979931, 952, 0, 32, 1034, 53, 9, 47, 19, 0, 274
3818980965, 750, 0, 144, 1040, 367, 9, 105, 15, 0, 1179
3818982005, 851, 0, 156, 1035, 602, 9, 121, 17, 0, 2021
3818983040, 851, 0, 137, 1017, 612, 9, 121, 17, 0, 2049
3818984057, 850, 0, 152, 1028, 620, 9, 122, 17, 0, 2062
3818985085, 850, 0, 146, 1019, 618, 9, 122, 17, 0, 2061
3818986104, 850, 0, 151, 1036, 629, 9, 124, 17, 0, 2082
3818987140, 850, 0, 151, 1017, 627, 9, 125, 17, 0, 2109
3818988157, 850, 0, 152, 1033, 648, 9, 126, 17, 0, 2134
3818989190, 850, 0, 148, 1019, 639, 9, 126, 17, 0, 2136
3818990209, 850, 0, 145, 1022, 633, 9, 125, 17, 0, 2110
3818991231, 851, 0, 145, 1022, 629, 9, 125, 17, 0, 2114
3818992253, 851, 0, 149, 1023, 637, 9, 125, 17, 0, 2125
3818993276, 850, 0, 157, 1023, 653, 9, 128, 17, 0, 2166
3818994299, 850, 0, 156, 1029, 665, 9, 128, 17, 0, 2173
3818995329, 851, 0, 157, 1031, 644, 9, 128, 17, 0, 2151
3818996360, 850, 0, 149, 1022, 640, 9, 125, 17, 1, 2125
3818997382, 851, 0, 146, 1023, 639, 9, 125, 17, 1, 2125
3818998405, 850, 0, 146, 1014, 629, 9, 125, 17, 1, 2116
3818999420, 850, 0, 147, 1018, 620, 9, 125, 17, 1, 2111
3819000438, 851, 0, 140, 1024, 624, 9, 124, 17, 1, 2108
3819001462, 851, 0, 151, 1026, 628, 9, 126, 17, 1, 2130
3819002488, 851, 0, 150, 1026, 639, 9, 126, 17, 1, 2142
3819003514, 851, 0, 143, 1025, 630, 9, 128, 17, 1, 2145
