Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3816373244, 1000, 0, 0, 1003, 0, 9, 0, 20, 0, 0
3816374248, 1006, 0, 0, 1008, 0, 9, 0, 20, 0, 0
3816375256, 1002, 0, 14, 1041, 15, 9, 34, 20, 0, 109
3816376297, 752, 0, 145, 1016, 291, 9, 90, 15, 0, 971
3816377313, 801, 0, 172, 1048, 564, 9, 119, 16, 0, 1783
3816378361, 851, 0, 144, 1023, 606, 9, 119, 17, 0, 2023
3816379384, 850, 0, 136, 1025, 606, 9, 119, 17, 0, 2010
3816380409, 851, 0, 142, 1019, 595, 9, 118, 17, 0, 2001
3816381428, 851, 0, 145, 1022, 598, 9, 118, 17, 0, 2004
3816382450, 850, 0, 135, 1018, 597, 9, 118, 17, 0, 2003
3816383468, 851, 0, 142, 1023, 605, 9, 119, 17, 0, 2018
3816384491, 850, 0, 135, 1024, 608, 9, 119, 17, 0, 2020
3816385515, 850, 0, 139, 1024, 596, 9, 119, 17, 0, 2008
3816386539, 851, 0, 132, 1009, 598, 9, 119, 17, 0, 2023
3816387548, 850, 0, 134, 1019, 604, 9, 119, 17, 0, 2023
3816388567, 852, 0, 126, 1018, 590, 9, 119, 17, 0, 1978
3816389585, 851, 0, 139, 1021, 585, 9, 116, 17, 0, 1959
3816390606, 850, 0, 136, 1023, 590, 9, 116, 17, 0, 1967
3816391629, 850, 0, 132, 1020, 579, 9, 115, 17, 0, 1955
3816392649, 850, 0, 132, 1033, 591, 9, 115, 17, 1, 1953
3816393682, 850, 0, 134, 1030, 593, 9, 114, 17, 1, 1938
3816394712, 850, 0, 137, 1021, 577, 9, 114, 17, 1, 1930
3816395733, 851, 0, 138, 1025, 574, 9, 113, 17, 1, 1921
3816396758, 852, 0, 138, 1036, 582, 9, 113, 17, 1, 1917
3816397794, 851, 0, 147, 1034, 563, 9, 112, 17, 1, 1901
3816398828, 851, 0, 130, 1026, 564, 9, 111, 17, 1, 1881
3816399854, 850, 0, 128, 1031, 559, 9, 110, 17, 1, 1870
3816400885, 851, 0, 117, 1028, 555, 9, 110, 17, 1, 1852
3816401913, 850, 0, 130, 1016, 534, 9, 108, 17, 1, 1827
3816402929, 850, 0, 131, 1027, 524, 9, 107, 17, 1, 1806
3816403956, 850, 0, 124, 1026, 528, 9, 105, 17, 1, 1769
3816404983, 851, 0, 123, 1017, 509, 9, 104, 17, 1, 1759
3816406000, 851, 0, 106, 1025, 510, 9, 103, 17, 1, 1751
3816407025, 850, 0, 121, 1025, 510, 9, 103, 17, 1, 1749
3816408050, 852, 0, 117, 1032, 502, 9, 102, 17, 1, 1729
3816409082, 851, 0, 130, 1027, 498, 9, 101, 17, 1, 1701
3816410110, 850, 0, 124, 1021, 477, 9, 99, 17, 1, 1667
