Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3815572262, 1002, 0, 0, 1019, 0, 9, 0, 20, 0, 0
3815573281, 1001, 0, 0, 1003, 0, 9, 0, 20, 0, 0
3815574284, 1002, 1, 0, 1003, 0, 9, 0, 20, 0, 0
3815575287, 907, 1, 87, 1048, 533, 9, 86, 18, 0, 872
3815576335, 752, 0, 197, 1004, 654, 9, 118, 15, 0, 1542
3815577340, 850, 1, 144, 1023, 624, 9, 121, 17, 0, 2056
3815578363, 851, 0, 137, 1027, 623, 9, 121, 17, 0, 2057
3815579390, 850, 0, 140, 1020, 617, 9, 121, 17, 0, 2057
3815580410, 850, 1, 129, 1017, 622, 9, 122, 17, 0, 2060
3815581427, 851, 1, 139, 1010, 612, 9, 122, 17, 0, 2062
3815582437, 850, 0, 143, 1028, 612, 9, 121, 17, 0, 2057
3815583465, 851, 0, 128, 1013, 614, 9, 122, 17, 0, 2061
3815584478, 851, 0, 132, 1017, 609, 9, 121, 17, 0, 2043
3815585495, 850, 0, 139, 1016, 614, 9, 121, 17, 0, 2057
3815586511, 851, 2, 141, 1027, 618, 9, 121, 17, 0, 2057
3815587538, 850, 0, 135, 1021, 622, 9, 122, 17, 0, 2069
3815588559, 851, 0, 137, 1015, 616, 9, 122, 17, 0, 2071
3815589574, 850, 0, 146, 1021, 616, 9, 121, 17, 0, 2057
3815590595, 851, 0, 155, 1031, 631, 9, 121, 17, 0, 2057
3815591626, 851, 0, 131, 1023, 614, 9, 121, 17, 1, 2057
3815592649, 852, 0, 138, 1020, 620, 9, 122, 17, 1, 2074
3815593669, 851, 0, 128, 1017, 615, 9, 123, 17, 1, 2087
3815594686, 850, 0, 142, 1026, 634, 9, 124, 17, 1, 2103
3815595712, 850, 0, 144, 1023, 621, 9, 125, 17, 1, 2110
3815596735, 850, 0, 140, 1020, 624, 9, 125, 17, 1, 2125
3815597755, 850, 0, 140, 1021, 624, 9, 125, 17, 1, 2122
3815598776, 851, 0, 142, 1016, 633, 9, 129, 17, 1, 2156
3815599792, 851, 0, 152, 1026, 647, 9, 130, 17, 1, 2202
3815600818, 851, 1, 162, 1031, 656, 9, 130, 17, 1, 2210
3815601849, 850, 0, 149, 1022, 635, 9, 131, 17, 1, 2214
3815602871, 850, 0, 148, 1026, 645, 9, 132, 17, 1, 2235
3815603897, 851, 0, 155, 1025, 659, 9, 132, 17, 1, 2244
3815604922, 850, 0, 152, 1030, 656, 9, 137, 17, 1, 2303
3815605952, 850, 0, 159, 1023, 687, 9, 139, 17, 1, 2353
3815606975, 850, 1, 158, 1025, 680, 9, 140, 17, 1, 2368
3815608000, 852, 0, 155, 1022, 684, 9, 140, 17, 1, 2380
3815609024, 851, 0, 165, 1029, 700, 9, 141, 17, 1, 2395
3815610053, 850, 1, 165, 1031, 699, 9, 142, 17, 1, 2407
3815611084, 850, 0, 157, 1018, 682, 9, 142, 17, 1, 2414
3815612102, 850, 1, 157, 1018, 692, 9, 144, 17, 1, 2431
3815613120, 851, 1, 146, 1016, 707, 9, 146, 17, 1, 2474
3815614136, 850, 0, 160, 1022, 702, 9, 147, 17, 1, 2492
3815615158, 850, 0, 169, 1031, 724, 9, 149, 17, 1, 2523
3815616189, 850, 2, 152, 1024, 733, 9, 151, 17, 1, 2556
3815617213, 850, 2, 163, 1029, 744, 9, 152, 17, 1, 2578
3815618242, 850, 0, 160, 1028, 736, 9, 153, 17, 1, 2591
3815619271, 851, 0, 178, 1036, 739, 9, 155, 17, 1, 2623
3815620307, 850, 2, 165, 1030, 759, 9, 155, 17, 1, 2635
3815621337, 850, 0, 155, 1028, 750, 9, 157, 17, 1, 2641
3815622365, 850, 0, 165, 1029, 765, 9, 159, 17, 1, 2678
3815623394, 850, 1, 185, 1042, 795, 9, 161, 17, 1, 2720
3815624436, 851, 0, 173, 1040, 794, 9, 162, 17, 1, 2742
3815625476, 850, 0, 168, 1026, 768, 9, 163, 17, 1, 2762
3815626502, 851, 0, 184, 1050, 806, 9, 164, 17, 1, 2781
3815627552, 850, 0, 173, 1031, 811, 9, 165, 17, 1, 2805
3815628583, 850, 1, 171, 1034, 803, 9, 167, 17, 1, 2822
3815629617, 850, 1, 191, 1052, 828, 9, 169, 17, 1, 2871
3815630669, 850, 0, 177, 1039, 816, 9, 171, 17, 1, 2893
3815631708, 852, 0, 166, 1026, 812, 9, 171, 17, 1, 2907
3815632734, 850, 0, 174, 1029, 829, 9, 173, 17, 1, 2921
3815633763, 850, 0, 165, 1025, 822, 9, 174, 17, 1, 2956
3815634788, 850, 1, 187, 1045, 859, 9, 174, 17, 1, 2958
3815635833, 850, 0, 177, 1034, 838, 9, 175, 17, 1, 2974
3815636867, 850, 0, 176, 1034, 821, 9, 178, 17, 1, 3012
3815637901, 852, 0, 169, 1031, 860, 9, 179, 17, 1, 3041
3815638933, 851, 0, 180, 1037, 865, 9, 180, 17, 1, 3060
3815639970, 850, 1, 178, 1032, 865, 9, 186, 17, 1, 3125
3815641002, 851, 0, 186, 1040, 877, 9, 188, 17, 1, 3180
3815642042, 850, 0, 184, 1042, 890, 9, 189, 17, 1, 3198
3815643084, 852, 0, 181, 1035, 889, 9, 191, 17, 1, 3224
3815644119, 851, 0, 179, 1037, 915, 9, 191, 17, 1, 3247
3815645156, 851, 0, 179, 1034, 903, 9, 191, 17, 1, 3247
3815646190, 851, 1, 187, 1043, 936, 9, 195, 17, 0, 3294
3815647233, 850, 0, 181, 1036, 970, 9, 194, 17, 0, 3288
3815648269, 850, 1, 181, 1038, 935, 9, 193, 17, 0, 3279
3815649307, 850, 2, 181, 1039, 978, 9, 194, 17, 0, 3288
3815650346, 851, 1, 168, 1029, 953, 9, 193, 17, 0, 3281
3815651375, 850, 1, 174, 1028, 948, 9, 193, 17, 0, 3281
3815652403, 851, 1, 203, 1059, 991, 9, 193, 17, 0, 3278
3815653462, 850, 1, 167, 1035, 926, 9, 191, 17, 0, 3247
3815654497, 851, 0, 186, 1052, 959, 9, 191, 17, 0, 3234
3815655549, 850, 0, 188, 1048, 952, 9, 189, 17, 0, 3212
3815656597, 850, 1, 185, 1042, 948, 9, 189, 17, 0, 3197
3815657639, 850, 1, 180, 1038, 925, 9, 188, 17, 0, 3196
3815658677, 850, 0, 180, 1039, 936, 9, 191, 17, 0, 3238
3815659716, 851, 0, 188, 1049, 957, 9, 190, 17, 0, 3230
3815660765, 850, 0, 177, 1033, 939, 9, 190, 17, 0, 3217
3815661798, 850, 1, 183, 1047, 948, 9, 189, 17, 0, 3213
3815662845, 851, 1, 184, 1042, 922, 9, 188, 17, 0, 3173
3815663887, 851, 0, 178, 1038, 931, 9, 186, 17, 0, 3150
3815664925, 850, 0, 180, 1044, 930, 9, 188, 17, 0, 3182
3815665969, 850, 2, 185, 1042, 933, 9, 187, 17, 1, 3179
3815667011, 850, 1, 192, 1046, 979, 9, 188, 17, 1, 3195
3815668057, 850, 0, 181, 1042, 951, 9, 189, 17, 1, 3206
3815669099, 850, 1, 168, 1028, 958, 9, 190, 17, 1, 3215
3815670127, 850, 0, 179, 1039, 952, 9, 194, 17, 1, 3268
3815671166, 850, 0, 188, 1042, 980, 9, 197, 17, 1, 3328
3815672208, 850, 1, 182, 1037, 986, 9, 201, 17, 1, 3390
3815673245, 850, 0, 188, 1043, 965, 9, 203, 17, 1, 3445
3815674288, 850, 1, 195, 1046, 982, 9, 206, 17, 1, 3479
3815675335, 850, 0, 183, 1039, 1026, 9, 207, 17, 1, 3518
3815676374, 851, 0, 198, 1056, 1022, 9, 208, 17, 1, 3526
3815677430, 850, 0, 188, 1040, 990, 9, 209, 17, 1, 3540
3815678470, 851, 1, 204, 1056, 991, 9, 209, 17, 1, 3553
3815679526, 851, 0, 193, 1047, 988, 9, 210, 17, 1, 3554
3815680573, 851, 0, 186, 1041, 978, 9, 211, 17, 1, 3584
3815681614, 850, 0, 201, 1055, 998, 9, 214, 17, 1, 3613
3815682669, 850, 0, 199, 1050, 999, 9, 215, 17, 1, 3640
3815683719, 851, 1, 190, 1044, 1022, 9, 215, 17, 1, 3655
3815684763, 801, 0, 203, 1006, 970, 9, 219, 16, 1, 3473
3815685770, 850, 0, 197, 1053, 1006, 9, 222, 17, 1, 3762
3815686823, 801, 0, 203, 1006, 1006, 9, 225, 16, 1, 3578
3815687829, 850, 0, 206, 1058, 1068, 9, 229, 17, 1, 3852
3815688887, 851, 0, 206, 1060, 1048, 9, 231, 17, 1, 3903
3815689947, 800, 1, 217, 1023, 1046, 9, 233, 16, 1, 3713
3815690970, 801, 0, 204, 1009, 1014, 9, 235, 16, 1, 3758
3815691979, 801, 0, 200, 1004, 1027, 9, 236, 16, 1, 3774
3815692983, 801, 1, 209, 1013, 1061, 9, 238, 16, 1, 3792
3815693996, 800, 0, 203, 1008, 1036, 9, 240, 16, 1, 3827
3815695004, 800, 0, 201, 1008, 1057, 9, 241, 16, 1, 3850
3815696012, 850, 0, 212, 1065, 1114, 9, 244, 17, 1, 4129
3815697077, 800, 0, 205, 1008, 1095, 9, 245, 16, 1, 3906
3815698086, 800, 1, 204, 1007, 1063, 9, 248, 16, 1, 3942
3815699093, 850, 0, 208, 1060, 1144, 9, 248, 17, 1, 4216
