Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3815572271, 1003, 0, 0, 1010, 0, 9, 0, 20, 0, 0
3815573281, 1001, 0, 0, 1002, 0, 9, 0, 20, 0, 0
3815574284, 1002, 0, 0, 1003, 0, 9, 0, 20, 0, 0
3815575287, 901, 0, 76, 1048, 225, 9, 87, 18, 0, 954
3815576335, 750, 0, 206, 1004, 521, 9, 121, 15, 0, 1620
3815577340, 851, 0, 143, 1023, 634, 9, 124, 17, 0, 2106
3815578363, 852, 0, 147, 1027, 625, 9, 123, 17, 0, 2091
3815579390, 851, 0, 138, 1020, 631, 9, 123, 17, 0, 2091
3815580410, 851, 0, 148, 1017, 627, 9, 124, 17, 0, 2101
3815581427, 850, 1, 133, 1009, 622, 9, 123, 17, 0, 2091
3815582437, 853, 0, 155, 1028, 639, 9, 127, 17, 0, 2115
3815583465, 851, 0, 148, 1013, 641, 9, 127, 17, 0, 2159
3815584478, 850, 0, 150, 1017, 652, 9, 129, 17, 0, 2187
3815585495, 851, 0, 145, 1016, 661, 9, 130, 17, 0, 2210
3815586511, 850, 0, 144, 1027, 669, 9, 130, 17, 0, 2210
3815587538, 850, 0, 154, 1021, 666, 9, 130, 17, 0, 2210
3815588559, 850, 0, 145, 1015, 645, 9, 130, 17, 0, 2201
3815589574, 850, 0, 155, 1021, 650, 9, 129, 17, 0, 2182
3815590595, 850, 0, 146, 1030, 641, 9, 127, 17, 0, 2137
3815591626, 850, 0, 148, 1023, 641, 9, 128, 17, 1, 2151
3815592649, 850, 0, 149, 1020, 651, 9, 129, 17, 1, 2179
3815593669, 852, 0, 151, 1017, 646, 9, 129, 17, 1, 2187
3815594686, 851, 0, 147, 1026, 655, 9, 128, 17, 1, 2166
3815595712, 851, 0, 147, 1023, 639, 9, 128, 17, 1, 2176
3815596735, 850, 0, 142, 1020, 640, 9, 128, 17, 1, 2176
3815597755, 850, 0, 147, 1021, 635, 9, 129, 17, 1, 2185
3815598776, 850, 0, 155, 1016, 646, 9, 130, 17, 1, 2200
3815599792, 851, 0, 147, 1026, 635, 9, 130, 17, 1, 2203
3815600818, 850, 0, 157, 1031, 647, 9, 131, 17, 1, 2213
3815601849, 852, 0, 156, 1022, 655, 9, 133, 17, 1, 2233
3815602871, 851, 0, 148, 1026, 643, 9, 131, 17, 1, 2212
3815603897, 850, 0, 160, 1025, 657, 9, 133, 17, 1, 2259
3815604922, 851, 0, 145, 1030, 650, 9, 133, 17, 1, 2245
3815605952, 850, 0, 152, 1023, 651, 9, 133, 17, 1, 2251
3815606975, 850, 0, 150, 1025, 651, 9, 132, 17, 1, 2244
3815608000, 850, 0, 153, 1022, 641, 9, 133, 17, 1, 2249
3815609024, 851, 0, 142, 1029, 642, 9, 132, 17, 1, 2225
3815610053, 850, 0, 145, 1031, 634, 9, 130, 17, 1, 2208
3815611084, 850, 0, 145, 1018, 628, 9, 129, 17, 1, 2193
3815612102, 850, 0, 137, 1018, 632, 9, 130, 17, 1, 2195
3815613120, 851, 0, 143, 1016, 640, 9, 133, 17, 1, 2238
3815614136, 851, 0, 141, 1022, 652, 9, 134, 17, 1, 2263
3815615158, 850, 0, 159, 1031, 648, 9, 136, 17, 1, 2278
3815616189, 852, 0, 155, 1024, 661, 9, 137, 17, 1, 2317
3815617213, 851, 0, 154, 1029, 674, 9, 137, 17, 1, 2329
3815618242, 850, 0, 165, 1028, 671, 9, 138, 17, 1, 2330
3815619271, 850, 0, 158, 1036, 693, 9, 141, 17, 1, 2379
3815620307, 850, 0, 160, 1030, 683, 9, 142, 17, 1, 2404
3815621337, 850, 0, 168, 1028, 702, 9, 145, 17, 1, 2439
3815622365, 851, 0, 160, 1029, 699, 9, 144, 17, 1, 2434
3815623394, 850, 0, 160, 1042, 702, 9, 143, 17, 1, 2425
3815624436, 850, 0, 176, 1040, 719, 9, 144, 17, 1, 2435
3815625476, 850, 0, 155, 1026, 705, 9, 147, 17, 1, 2481
3815626502, 851, 0, 169, 1050, 728, 9, 146, 17, 1, 2468
3815627552, 851, 0, 169, 1031, 712, 9, 145, 17, 1, 2453
3815628583, 851, 0, 168, 1034, 709, 9, 144, 17, 1, 2430
3815629617, 850, 0, 169, 1052, 721, 9, 144, 17, 1, 2444
3815630669, 850, 0, 167, 1039, 711, 9, 144, 17, 1, 2426
3815631708, 852, 0, 148, 1026, 684, 9, 142, 17, 1, 2406
3815632734, 850, 0, 148, 1029, 676, 9, 142, 17, 1, 2386
3815633763, 850, 0, 150, 1025, 679, 9, 140, 17, 1, 2366
3815634788, 851, 0, 161, 1045, 710, 9, 142, 17, 1, 2399
3815635833, 851, 0, 161, 1034, 700, 9, 142, 17, 1, 2407
3815636867, 850, 0, 160, 1034, 683, 9, 142, 17, 1, 2388
3815637901, 851, 0, 149, 1031, 685, 9, 139, 17, 1, 2352
3815638933, 850, 0, 154, 1037, 687, 9, 139, 17, 1, 2343
3815639970, 851, 0, 143, 1032, 662, 9, 137, 17, 1, 2310
3815641002, 850, 0, 148, 1040, 666, 9, 136, 17, 1, 2309
3815642042, 850, 0, 152, 1042, 688, 9, 137, 17, 1, 2313
3815643084, 851, 0, 147, 1035, 681, 9, 138, 17, 1, 2331
3815644119, 851, 0, 153, 1037, 667, 9, 137, 17, 1, 2329
3815645156, 851, 0, 152, 1034, 679, 9, 138, 17, 1, 2334
3815646190, 852, 0, 154, 1043, 683, 9, 138, 17, 0, 2346
3815647233, 850, 0, 155, 1036, 703, 9, 138, 17, 0, 2330
3815648269, 850, 0, 148, 1038, 682, 9, 136, 17, 0, 2312
3815649307, 851, 0, 149, 1039, 690, 9, 137, 17, 0, 2314
3815650346, 850, 1, 151, 1029, 665, 9, 138, 17, 0, 2325
3815651375, 850, 0, 152, 1028, 673, 9, 139, 17, 0, 2342
3815652403, 850, 0, 163, 1059, 696, 9, 138, 17, 0, 2341
3815653462, 850, 0, 167, 1035, 680, 9, 139, 17, 0, 2355
