Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3820035144, 1000, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3820036148, 1000, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3820037152, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820038158, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820039164, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820040171, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820041177, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820042184, 1000, 0, 20, 1052, 24, 9, 42, 20, 0, 163
3820043236, 808, 0, 152, 1037, 354, 9, 101, 16, 0, 1232
3820044273, 800, 0, 171, 1041, 608, 9, 123, 16, 0, 1904
3820045315, 852, 0, 151, 1023, 630, 9, 124, 17, 0, 2089
3820046338, 850, 0, 142, 1023, 631, 9, 123, 17, 0, 2084
3820047361, 850, 0, 139, 1016, 615, 9, 122, 17, 0, 2058
3820048377, 850, 0, 140, 1023, 621, 9, 121, 17, 0, 2057
3820049400, 851, 0, 146, 1021, 620, 9, 122, 17, 0, 2070
3820050421, 850, 0, 138, 1014, 615, 9, 121, 17, 0, 2057
3820051435, 850, 0, 144, 1025, 610, 9, 121, 17, 0, 2042
3820052460, 850, 0, 137, 1018, 610, 9, 121, 17, 0, 2042
3820053478, 850, 0, 144, 1018, 615, 9, 122, 17, 0, 2073
3820054496, 851, 0, 139, 1027, 621, 9, 122, 17, 1, 2074
3820055523, 850, 0, 145, 1025, 634, 9, 122, 17, 1, 2072
3820056548, 852, 0, 141, 1025, 619, 9, 122, 17, 1, 2061
3820057573, 850, 0, 142, 1027, 617, 9, 121, 17, 1, 2057
3820058600, 851, 0, 138, 1024, 618, 9, 121, 17, 1, 2055
3820059624, 851, 0, 124, 1016, 615, 9, 123, 17, 1, 2065
3820060640, 851, 0, 138, 1017, 617, 9, 123, 17, 1, 2091
3820061657, 851, 0, 145, 1024, 621, 9, 123, 17, 1, 2089
3820062681, 850, 0, 140, 1029, 609, 9, 122, 17, 1, 2040
3820063710, 850, 0, 170, 1034, 613, 9, 119, 17, 1, 2023
3820064744, 850, 0, 137, 1023, 594, 9, 119, 17, 1, 2010
3820065767, 850, 0, 135, 1018, 584, 9, 117, 17, 1, 1988
3820066785, 850, 0, 130, 1027, 584, 9, 116, 17, 1, 1972
3820067812, 854, 0, 140, 1023, 581, 9, 116, 17, 1, 1962
3820068835, 850, 0, 135, 1019, 560, 9, 115, 17, 1, 1938
3820069854, 851, 0, 147, 1029, 560, 9, 113, 17, 1, 1921
3820070883, 850, 0, 154, 1036, 560, 9, 113, 17, 1, 1894
3820071919, 850, 0, 120, 1027, 554, 9, 111, 17, 1, 1881
3820072946, 851, 0, 131, 1024, 535, 9, 109, 17, 1, 1840
3820073970, 850, 0, 125, 1034, 533, 9, 108, 17, 1, 1836
3820075004, 850, 0, 158, 1035, 598, 10, 125, 17, 1, 2055
3820076039, 852, 0, 147, 1034, 611, 10, 125, 17, 1, 2118
3820077073, 851, 0, 152, 1024, 597, 10, 123, 17, 1, 2080
3820078098, 850, 0, 147, 1024, 592, 10, 122, 17, 1, 2074
3820079122, 850, 1, 139, 1019, 598, 10, 121, 17, 1, 2043
3820080141, 850, 0, 148, 1031, 579, 10, 120, 17, 1, 2039
3820081172, 850, 0, 146, 1027, 594, 10, 120, 17, 1, 2025
3820082199, 850, 0, 138, 1017, 569, 10, 119, 17, 1, 2016
3820083216, 851, 0, 141, 1035, 572, 10, 117, 17, 1, 1984
3820084251, 850, 0, 135, 1038, 572, 10, 116, 17, 1, 1960
3820085289, 851, 0, 144, 1030, 608, 11, 125, 17, 1, 2109
3820086319, 850, 0, 134, 1023, 600, 11, 124, 17, 1, 2089
3820087342, 850, 0, 143, 1022, 592, 11, 122, 17, 1, 2048
3820088364, 850, 0, 152, 1032, 581, 11, 120, 17, 1, 2021
3820089396, 851, 0, 153, 1035, 572, 11, 118, 17, 1, 1995
3820090431, 851, 0, 153, 1036, 572, 11, 117, 17, 1, 1981
3820091467, 851, 0, 146, 1032, 545, 11, 113, 17, 1, 1892
3820092499, 850, 0, 136, 1030, 529, 11, 110, 17, 1, 1836
3820093529, 852, 0, 140, 1029, 525, 11, 106, 17, 1, 1764
3820094558, 851, 0, 140, 1030, 522, 12, 123, 17, 1, 1857
3820095588, 850, 0, 152, 1022, 579, 12, 122, 17, 1, 2031
3820096610, 850, 0, 136, 1029, 567, 12, 118, 17, 1, 1980
3820097639, 850, 0, 140, 1019, 552, 12, 117, 17, 1, 1969
