Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3820035129, 1001, 0, 0, 1019, 0, 9, 0, 20, 0, 0
3820036148, 1000, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3820037152, 1001, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3820038158, 1003, 2, 0, 1006, 0, 9, 0, 20, 0, 0
3820039164, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820040171, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820041177, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820042184, 1001, 0, 27, 1052, 211, 9, 53, 20, 0, 215
3820043236, 802, 0, 150, 1037, 603, 9, 96, 16, 0, 1242
3820044273, 803, 0, 183, 1042, 645, 10, 125, 16, 0, 1790
3820045315, 850, 1, 141, 1023, 646, 10, 125, 17, 0, 2125
3820046338, 853, 0, 155, 1023, 638, 10, 125, 17, 0, 2125
3820047361, 851, 0, 148, 1016, 633, 10, 125, 17, 0, 2125
3820048377, 850, 0, 144, 1023, 632, 10, 125, 17, 0, 2125
3820049400, 852, 0, 142, 1021, 642, 10, 127, 17, 0, 2130
3820050421, 853, 0, 141, 1014, 647, 10, 128, 17, 0, 2173
3820051435, 854, 0, 162, 1025, 649, 10, 128, 17, 0, 2156
3820052460, 850, 0, 149, 1018, 635, 10, 126, 17, 0, 2142
3820053478, 850, 0, 144, 1018, 635, 10, 126, 17, 0, 2142
3820054496, 851, 0, 138, 1027, 657, 10, 126, 17, 1, 2142
3820055523, 851, 1, 143, 1025, 647, 10, 126, 17, 1, 2142
3820056548, 850, 0, 153, 1025, 644, 10, 126, 17, 1, 2142
3820057573, 851, 0, 141, 1027, 643, 10, 126, 17, 1, 2138
3820058600, 852, 1, 133, 1024, 650, 10, 126, 17, 1, 2131
3820059624, 850, 0, 151, 1016, 626, 10, 125, 17, 1, 2125
3820060640, 850, 1, 150, 1017, 631, 10, 125, 17, 1, 2125
3820061657, 851, 1, 133, 1024, 632, 10, 127, 17, 1, 2143
3820062681, 851, 0, 156, 1029, 652, 10, 129, 17, 1, 2178
3820063710, 850, 1, 162, 1034, 663, 10, 130, 17, 1, 2194
3820064744, 851, 0, 152, 1023, 650, 10, 130, 17, 1, 2203
3820065767, 851, 1, 151, 1018, 654, 10, 130, 17, 1, 2200
3820066785, 851, 0, 150, 1027, 647, 10, 130, 17, 1, 2199
3820067812, 850, 0, 148, 1023, 643, 10, 129, 17, 1, 2193
3820068835, 850, 0, 147, 1019, 642, 10, 132, 17, 1, 2220
3820069854, 851, 1, 145, 1029, 651, 10, 133, 17, 1, 2252
3820070883, 850, 1, 155, 1036, 675, 10, 136, 17, 1, 2286
3820071919, 850, 1, 163, 1027, 684, 10, 142, 17, 1, 2352
3820072946, 850, 1, 158, 1024, 695, 10, 142, 17, 1, 2414
3820073970, 851, 0, 163, 1034, 703, 10, 143, 17, 1, 2429
3820075004, 853, 0, 155, 1035, 664, 10, 143, 17, 1, 2235
3820076039, 850, 0, 142, 1034, 633, 9, 131, 17, 1, 2218
3820077073, 850, 0, 142, 1024, 626, 9, 132, 17, 1, 2228
3820078098, 850, 0, 147, 1024, 654, 9, 131, 17, 1, 2227
3820079122, 850, 0, 143, 1019, 650, 9, 132, 17, 1, 2238
3820080141, 850, 0, 158, 1031, 652, 9, 133, 17, 1, 2258
3820081172, 850, 0, 141, 1027, 654, 9, 134, 17, 1, 2269
3820082199, 850, 1, 148, 1017, 643, 9, 135, 17, 1, 2269
3820083216, 850, 0, 155, 1035, 676, 9, 137, 17, 1, 2305
3820084251, 851, 0, 173, 1038, 653, 9, 137, 17, 1, 2315
3820085289, 850, 1, 155, 1030, 635, 8, 130, 17, 1, 2181
3820086319, 851, 0, 159, 1023, 620, 8, 131, 17, 1, 2206
3820087342, 851, 0, 147, 1022, 633, 8, 133, 17, 1, 2239
3820088364, 850, 0, 157, 1032, 644, 8, 134, 17, 1, 2268
3820089396, 850, 0, 154, 1035, 660, 8, 135, 17, 1, 2288
3820090431, 851, 1, 158, 1036, 648, 8, 139, 17, 1, 2331
3820091467, 851, 0, 161, 1032, 664, 8, 143, 17, 1, 2393
3820092499, 850, 0, 163, 1030, 711, 8, 149, 17, 1, 2475
3820093529, 850, 0, 162, 1029, 699, 8, 150, 17, 1, 2542
3820094558, 851, 1, 158, 1030, 699, 8, 150, 17, 1, 2448
3820095588, 850, 1, 146, 1022, 648, 7, 136, 17, 1, 2291
3820096610, 850, 1, 162, 1029, 648, 7, 137, 17, 1, 2313
3820097639, 850, 0, 153, 1019, 627, 7, 136, 17, 1, 2295
3820098658, 850, 1, 152, 1023, 618, 7, 137, 17, 1, 2295
3820099681, 850, 0, 153, 1015, 612, 7, 139, 17, 1, 2333
3820100696, 851, 0, 150, 1030, 663, 7, 140, 17, 1, 2359
3820101726, 851, 0, 146, 1022, 629, 7, 140, 17, 1, 2379
3820102748, 850, 2, 165, 1033, 636, 7, 141, 17, 1, 2373
3820103781, 850, 0, 141, 1024, 640, 7, 140, 17, 1, 2372
